store_id,name,prefecture,address,latitude,longitude,source_url
kusatsu,GiGOエイスクエア草津,滋賀県,滋賀県草津市西渋川1-23-15 A-SQUARSARA内,35.023758,135.960159,https://www.gigo.co.jp/shops/kusatsu
adogawa,GiGO平和堂あどがわ,滋賀県,滋賀県高島市安曇川町西万木55番地,35.327675,136.027954,https://www.gigo.co.jp/shops/adogawa
kosei,GiGO甲西,滋賀県,滋賀県湖南市夏見二ツ橋356-1,34.990887,136.094894,https://www.gigo.co.jp/shops/kosei
bowl-uji,GiGO BOWLアル・プラザ宇治東,京都府,京都府宇治市莵道平町28番地1号,34.902111,135.803040,https://www.gigo.co.jp/shops/bowl-uji
kyoto-fushimi,GiGO MOMOテラス京都伏見,京都府,京都府京都市伏見区桃山町山ノ下32 京都ショッピングセンタービルAM棟2F,34.937057,135.794800,https://www.gigo.co.jp/shops/kyoto-fushimi
kyotanabe,GiGOアル・プラザ京田辺,京都府,京都府京田辺市田辺中央5丁目2-1 アルプラザ京田辺3F,34.821999,135.768936,https://www.gigo.co.jp/shops/kyotanabe
daigo,GiGOアル・プラザ醍醐,京都府,京都府京都市伏見区醍醐高畑町1-37,34.951797,135.810547,https://www.gigo.co.jp/shops/daigo
cafestand-kawaramachi,GiGOコラボカフェスタンド河原町オーパ,京都府,京都府京都市中京区河原町通四条上ル米屋町385番地 河原町オーパ B1F,35.009998,135.751389,https://www.gigo.co.jp/shops/cafestand-kawaramachi
shinkyogoku,GiGO京都新京極,京都府,京都府京都市中京区新京極六角下る桜之町441番地2 ARISTO新京極,35.009998,135.751389,https://www.gigo.co.jp/shops/shinkyogoku
kawaramachi,GiGO河原町オーパ,京都府,京都府京都市中京区河原町通四条上ル米屋町385 河原町オーパ,35.009998,135.751389,https://www.gigo.co.jp/shops/kawaramachi
kawaramachi-b1f,GiGO河原町オーパB1F,京都府,京都府京都市中京区河原町通四条上ル米屋町385 河原町オーパ,35.009998,135.751389,https://www.gigo.co.jp/shops/kawaramachi-b1f
arcadecafe-osaka,GiGO Arcade Cafe KITTE大阪,大阪府,大阪府大阪市北区梅田3-2-2 KITTE大阪6F,34.700523,135.494797,https://www.gigo.co.jp/shops/arcadecafe-osaka
osaka-chayamachi,GiGO NU茶屋町,大阪府,大阪府大阪市北区茶屋町10-12 NU茶屋町4F,34.706814,135.499069,https://www.gigo.co.jp/shops/osaka-chayamachi
abeno-apollo,GiGOあべのアポロ,大阪府,大阪府大阪市阿倍野区阿倍野筋1-5-31 アポロビル3F,34.646694,135.511368,https://www.gigo.co.jp/shops/abeno-apollo
abeno-qs,GiGOあべのキューズモール,大阪府,大阪府大阪市阿倍野区阿倍野筋1-6-1,34.646053,135.512772,https://www.gigo.co.jp/shops/abeno-qs
izumisano,GiGOいこらも～る泉佐野,大阪府,大阪府泉佐野市下瓦屋2-2-77 いこらも～る泉佐野1F,34.421776,135.328781,https://www.gigo.co.jp/shops/izumisano
kami-shinjo,GiGOかみしんプラザ,大阪府,大阪府大阪市東淀川区大隅1-6-12 かみしんプラザ2F,34.748413,135.541077,https://www.gigo.co.jp/shops/kami-shinjo
namba-ebisubashi,GiGOなんば戎橋,大阪府,大阪府大阪市中央区難波3-8-22 なんば3丁目Hビル1F,34.665817,135.501175,https://www.gigo.co.jp/shops/namba-ebisubashi
taiyaki-dotonbori,GiGOのたい焼き大阪道頓堀本店,大阪府,大阪府大阪市中央区道頓堀1-8-22 3F,34.668686,135.501740,https://www.gigo.co.jp/shops/taiyaki-dotonbori
otori,GiGOアリオ鳳,大阪府,大阪府堺市西区鳳南町3-199-12 アリオ鳳店3F,34.526146,135.456894,https://www.gigo.co.jp/shops/otori
hirakata-tsuda,GiGOアル・プラザ枚方,大阪府,大阪府枚方市津田元町1丁目4番1号,34.808414,135.702042,https://www.gigo.co.jp/shops/hirakata-tsuda
ibaraki-kamigori,GiGOアル・プラザ茨木,大阪府,大阪府茨木市上郡2丁目12番地8号,34.838287,135.555832,https://www.gigo.co.jp/shops/ibaraki-kamigori
korien,GiGOアル・プラザ香里園,大阪府,大阪府寝屋川市日新町5番5号,34.783310,135.622406,https://www.gigo.co.jp/shops/korien
